"EPCI_EPT","SEXE","VAR","loc","fra","fras","b100","diffFH","TYPO_IPCE","TYPO_INEG2","LIB_VAR_SH","LIB_VAR_LG","Unite","Source"
"200000172","SEXE1","fam2",6.03276645960748,11.5151938716949,5.85548348230296,52.3896212849393,34.2416957823453,"FAV","Q3","Inactivité","Part des inactifs parmi les 15-64 ans (hors étudiants et retraités)","%","Insee-RP 2017"
"200000172","SEXE1","emp1",9.75792776358933,14.4572436305488,13.110107623558,67.4950772979324,13.9736274363689,"FAV","Q3","Chômage","Taux de chômage","%","Insee-RP 2017"
"200000172","SEXE1","emp3",6.25212523019046,26.5788254789601,8.32255736171783,23.5229552755808,78.9672208305099,"FAV","Q3","Temps partiel","Part des résidents travaillant à temps partiel","%","Insee-RP 2017"
"200000172","SEXE1","emp4",11.1366128410384,14.1614302023997,12.1260509332014,78.6404528488325,21.1922049298703,"FAV","Q3","Contrats précaires","Part des résidents salariés en contrat précaire (hors apprentissage et stages rémunérés)","%","Insee-RP 2017"
"200000172","SEXE1","for3",17.9011188396702,17.3162450032199,17.3162450032199,103.377601993628,26.690394554102,"FAV","Q3","Jeunes non insérés","Part des 15-24 ans ni en emploi, ni en études, ni en formation","%","Insee-RP 2017"
"200000172","SEXE2","fam2",9.9757641139005,11.5151938716949,11.5151938716949,86.6313170672846,34.2416957823453,"FAV","Q3","Inactivité","Part des inactifs parmi les 15-64 ans (hors étudiants et retraités)","%","Insee-RP 2017"
"200000172","SEXE2","emp1",11.7781291260904,14.4572436305488,14.4572436305488,81.4687047343013,13.9736274363689,"FAV","Q3","Chômage","Taux de chômage","%","Insee-RP 2017"
"200000172","SEXE2","emp3",27.2406850403167,26.5788254789601,26.5788254789601,102.490176106091,78.9672208305099,"FAV","Q3","Temps partiel","Part des résidents travaillant à temps partiel","%","Insee-RP 2017"
"200000172","SEXE2","emp4",14.1377321505315,14.1614302023997,14.1614302023997,99.8326577787028,21.1922049298703,"FAV","Q3","Contrats précaires","Part des résidents salariés en contrat précaire (hors apprentissage et stages rémunérés)","%","Insee-RP 2017"
"200000172","SEXE2","for3",13.2793447263558,17.3162450032199,16.1857239782648,76.6872074395261,26.690394554102,"FAV","Q3","Jeunes non insérés","Part des 15-24 ans ni en emploi, ni en études, ni en formation","%","Insee-RP 2017"
"200000438","SEXE1","fam2",3.63765167068057,11.5151938716949,5.85548348230296,31.5900167310441,48.2303928462127,"MOY","Q5","Inactivité","Part des inactifs parmi les 15-64 ans (hors étudiants et retraités)","%","Insee-RP 2017"
"200000438","SEXE1","emp1",8.43566883802099,14.4572436305488,13.110107623558,58.3490812881927,25.006423225591,"MOY","Q5","Chômage","Taux de chômage","%","Insee-RP 2017"
"200000438","SEXE1","emp3",4.49587609657953,26.5788254789601,8.32255736171783,16.9152549654178,114.893997122339,"MOY","Q5","Temps partiel","Part des résidents travaillant à temps partiel","%","Insee-RP 2017"
"200000438","SEXE1","emp4",10.643265120265,14.1614302023997,12.1260509332014,75.1567106439677,42.7914359198459,"MOY","Q5","Contrats précaires","Part des résidents salariés en contrat précaire (hors apprentissage et stages rémunérés)","%","Insee-RP 2017"
"200000438","SEXE1","for3",13.9888330929621,17.3162450032199,17.3162450032199,80.7844488823122,13.4737695509565,"MOY","Q5","Jeunes non insérés","Part des 15-24 ans ni en emploi, ni en études, ni en formation","%","Insee-RP 2017"
"200000438","SEXE2","fam2",9.19147491200201,11.5151938716949,11.5151938716949,79.8204095772568,48.2303928462127,"MOY","Q5","Inactivité","Part des inactifs parmi les 15-64 ans (hors étudiants et retraités)","%","Insee-RP 2017"
"200000438","SEXE2","emp1",12.0509083670308,14.4572436305488,14.4572436305488,83.3555045137836,25.006423225591,"MOY","Q5","Chômage","Taux de chômage","%","Insee-RP 2017"
"200000438","SEXE2","emp3",35.0333510775275,26.5788254789601,26.5788254789601,131.809252087757,114.893997122339,"MOY","Q5","Temps partiel","Part des résidents travaillant à temps partiel","%","Insee-RP 2017"
